"","X","dvcat","weight","dead","airbag","seatbelt","frontal","sex","ageOFocc","yearacc","yearVeh","abcat","occRole","deploy","injSeverity","caseid"
"3633",3633,"10-24",849.103999994695,"alive","none","belted",1,"m",20,1997,1984,"unavail","driver",0,1,"79:74:2"
"3635",3635,"25-39",4.02599999995437,"dead","airbag","belted",1,"f",74,1997,1995,"deploy","pass",1,3,"79:75:1"
"3638",3638,"25-39",10.5019999999786,"alive","none","belted",1,"m",26,1997,1985,"unavail","driver",0,3,"79:77:2"
"3639",3639,"25-39",10.5019999999786,"alive","none","belted",1,"f",24,1997,1985,"unavail","pass",0,3,"79:77:2"
"3641",3641,"10-24",3.02799999999115,"alive","none","belted",0,"m",30,1997,1987,"unavail","pass",0,2,"79:81:1"
"3642",3642,"55+",3.03499999997439,"dead","none","none",1,"m",20,1997,1988,"unavail","driver",0,4,"79:82:1"
"3644",3644,"40-54",120.057999999262,"alive","airbag","belted",1,"m",25,1997,1995,"deploy","driver",1,1,"79:83:2"
"3647",3647,"10-24",9.22399999992922,"alive","airbag","belted",1,"f",37,1997,1994,"deploy","pass",1,3,"79:86:1"
"3649",3649,"25-39",48.554999999702,"alive","airbag","belted",1,"m",76,1997,1993,"deploy","driver",1,3,"79:87:2"
"3651",3651,"25-39",4.04599999997299,"alive","none","belted",0,"f",24,1997,1993,"unavail","pass",0,2,"79:88:2"
"3654",3654,"25-39",1.67399999999907,"alive","airbag","belted",1,"f",59,1997,1996,"deploy","driver",1,3,"79:90:1"
"3655",3655,"10-24",91.7119999993593,"alive","none","belted",0,"f",32,1997,1983,"unavail","driver",0,1,"79:92:2"
"3657",3657,"10-24",261.188999999315,"alive","none","belted",1,"m",27,1997,1990,"unavail","driver",0,0,"79:94:2"
"3658",3658,"10-24",3.02799999999115,"alive","airbag","belted",1,"m",30,1997,1993,"nodeploy","driver",0,2,"79:96:1"
"3660",3660,"10-24",442.855999998748,"alive","none","belted",1,"m",30,1997,1980,"unavail","driver",0,0,"79:99:3"
"3663",3663,"10-24",5.60799999994924,"alive","none","belted",0,"m",35,1997,1995,"unavail","driver",0,3,"79:105:2"
"3665",3665,"10-24",4.28799999994226,"alive","airbag","belted",1,"m",43,1997,1993,"deploy","driver",1,1,"79:108:2"
"3667",3667,"25-39",4.04699999996228,"alive","airbag","belted",0,"f",31,1997,1994,"nodeploy","driver",0,3,"79:110:2"
"3670",3670,"55+",4.02599999995437,"alive","none","belted",0,"f",18,1997,1994,"unavail","driver",0,3,"79:112:2"
"3671",3671,"25-39",3.02799999999115,"alive","none","belted",0,"m",19,1997,1987,"unavail","driver",0,3,"79:113:1"
"3673",3673,"25-39",253.429999999702,"alive","airbag","belted",1,"m",24,1997,1993,"deploy","driver",1,1,"79:114:2"
"3674",3674,"40-54",4.28799999994226,"dead","none","none",1,"m",42,1997,1984,"unavail","driver",0,4,"79:116:1"
"3676",3676,"10-24",3.02799999999115,"alive","none","belted",1,"f",71,1997,1987,"unavail","pass",0,3,"79:117:1"
"3679",3679,"10-24",4.02599999995437,"alive","none","none",1,"m",31,1997,1987,"unavail","driver",0,2,"79:118:1"
"3681",3681,"10-24",4.02599999995437,"alive","none","belted",0,"m",50,1997,1986,"unavail","driver",0,1,"79:119:2"
"3683",3683,"40-54",4.02599999995437,"alive","airbag","belted",0,"f",39,1997,1997,"nodeploy","driver",0,3,"79:122:1"
"3686",3686,"25-39",3.02799999999115,"alive","none","belted",0,"f",34,1997,1992,"unavail","driver",0,3,"79:124:2"
"3687",3687,"25-39",574.573999993503,"alive","none","none",0,"m",49,1997,1975,"unavail","driver",0,2,"79:127:2"
"3689",3689,"40-54",3.02799999999115,"alive","airbag","belted",1,"f",20,1997,1997,"deploy","driver",1,1,"79:128:2"
"3690",3690,"40-54",3.02799999999115,"alive","airbag","belted",1,"f",20,1997,1997,"deploy","pass",1,1,"79:128:2"
"3692",3692,"10-24",3.02799999999115,"alive","airbag","belted",1,"f",42,1997,1993,"deploy","driver",1,3,"79:129:2"
"3695",3695,"10-24",32.8239999995567,"alive","airbag","belted",0,"m",25,1997,1998,"nodeploy","driver",0,1,"79:130:2"
"3697",3697,"10-24",277.763999998569,"alive","none","belted",1,"m",17,1997,1992,"unavail","driver",0,0,"79:133:1"
"3699",3699,"25-39",3.02799999999115,"alive","none","belted",1,"f",23,1997,1987,"unavail","pass",0,2,"79:135:1"
"3702",3702,"40-54",15.5099999998929,"alive","none","belted",1,"f",23,1997,1991,"unavail","pass",0,0,"79:136:1"
"3703",3703,"25-39",4.28799999994226,"alive","none","belted",0,"m",82,1997,1987,"unavail","driver",0,2,"79:140:1"
"3705",3705,"25-39",4.28799999994226,"alive","airbag","none",1,"m",58,1997,1995,"deploy","driver",1,2,"79:140:2"
"3706",3706,"25-39",4.02599999995437,"alive","none","belted",0,"m",17,1997,1987,"unavail","driver",0,1,"79:141:1"
"3708",3708,"25-39",3.02799999999115,"alive","none","belted",1,"f",44,1997,1980,"unavail","driver",0,3,"79:142:1"
"3711",3711,"25-39",3.02799999999115,"alive","airbag","belted",0,"m",21,1997,1995,"deploy","driver",1,1,"79:143:2"
"3713",3713,"10-24",4.28799999994226,"alive","none","belted",1,"m",46,1997,1985,"unavail","driver",0,0,"79:146:2"
"3715",3715,"25-39",3.02799999999115,"alive","airbag","belted",1,"m",28,1997,1995,"deploy","driver",1,2,"79:147:3"
"3718",3718,"10-24",41.3929999996908,"alive","none","belted",1,"f",36,1997,1985,"unavail","driver",0,0,"79:150:1"
"3719",3719,"10-24",41.3929999996908,"alive","none","belted",1,"m",25,1997,1985,"unavail","pass",0,0,"79:150:1"
"3721",3721,"10-24",260.590999998152,"alive","airbag","belted",0,"m",42,1997,1998,"nodeploy","driver",0,1,"79:151:1"
"3722",3722,"10-24",260.590999998152,"alive","airbag","belted",1,"f",35,1997,1990,"nodeploy","driver",0,1,"79:151:2"
"3724",3724,"25-39",3.02799999999115,"alive","none","belted",1,"f",18,1997,1992,"unavail","driver",0,3,"79:153:1"
"3727",3727,"25-39",3.02799999999115,"alive","none","none",1,"m",67,1997,1980,"unavail","pass",0,1,"79:159:1"
"3729",3729,"10-24",4.02599999995437,"alive","airbag","belted",1,"m",16,1997,1997,"nodeploy","pass",0,3,"79:160:1"
"3731",3731,"10-24",204.622999999672,"alive","none","belted",1,"f",77,1997,1984,"unavail","driver",0,1,"79:162:2"
"3734",3734,"10-24",3.02799999999115,"alive","none","belted",1,"f",45,1997,1980,"unavail","pass",0,1,"79:164:2"
"3735",3735,"25-39",3.02799999999115,"alive","airbag","belted",1,"m",39,1997,1996,"deploy","driver",1,3,"79:165:1"
"3737",3737,"25-39",3.02799999999115,"alive","none","belted",1,"f",22,1997,1986,"unavail","pass",0,3,"79:165:2"
"3738",3738,"25-39",4.02599999995437,"alive","airbag","none",1,"m",29,1997,1992,"deploy","driver",1,1,"79:171:2"
"3740",3740,"10-24",586.018999993801,"alive","none","belted",1,"m",57,1997,1991,"unavail","driver",0,1,"79:173:2"
"3743",3743,"25-39",0.908999999999651,"alive","none","belted",0,"m",35,1997,1985,"unavail","driver",0,3,"79:176:1"
"3745",3745,"10-24",200.718999998644,"alive","airbag","belted",1,"m",69,1997,1994,"nodeploy","driver",0,0,"79:179:2"
"3747",3747,"25-39",4.28799999994226,"alive","none","belted",0,"m",18,1997,1989,"unavail","pass",0,2,"79:180:1"
"3750",3750,"25-39",379.19299999997,"alive","none","belted",1,"m",53,1997,1985,"unavail","driver",0,0,"79:185:1"
"3751",3751,"40-54",3.40399999998044,"alive","airbag","belted",1,"m",44,1997,1990,"deploy","driver",1,3,"79:186:1"
"3753",3753,"25-39",35.4189999997616,"alive","none","none",1,"f",16,1997,1984,"unavail","pass",0,2,"79:188:1"
"3754",3754,"25-39",35.4189999997616,"alive","none","none",0,"m",25,1997,1982,"unavail","driver",0,0,"79:188:2"
"3756",3756,"25-39",4.02599999995437,"alive","airbag","belted",1,"f",72,1997,1996,"deploy","driver",1,3,"79:192:2"
"3759",3759,"40-54",53.5879999999888,"alive","none","belted",1,"m",39,1997,1988,"unavail","driver",0,1,"81:3:2"
"3761",3761,"25-39",1534.19299998879,"alive","none","none",1,"m",20,1997,1978,"unavail","driver",0,2,"81:12:1"
"3763",3763,"25-39",16.5509999999776,"alive","airbag","belted",1,"f",41,1997,1994,"deploy","driver",1,2,"81:13:2"
"3766",3766,"25-39",846.932999998331,"alive","airbag","belted",0,"f",22,1997,1995,"nodeploy","driver",0,2,"81:14:2"
"3767",3767,"25-39",846.932999998331,"alive","airbag","belted",0,"f",22,1997,1995,"nodeploy","pass",0,0,"81:14:2"
"3769",3769,"40-54",30.8659999999218,"alive","none","belted",1,"f",34,1997,1989,"unavail","driver",0,3,"81:17:1"
"3770",3770,"10-24",164.093999998644,"alive","none","belted",1,"f",32,1997,1984,"unavail","driver",0,3,"81:20:2"
"3772",3772,"10-24",34.8109999997541,"alive","airbag","belted",0,"f",42,1997,1994,"nodeploy","driver",0,1,"81:24:2"
"3775",3775,"25-39",268.896999999881,"alive","none","belted",0,"f",17,1997,1979,"unavail","driver",0,2,"81:26:1"
"3777",3777,"25-39",268.896999999881,"alive","none","belted",1,"f",24,1997,1985,"unavail","pass",0,2,"81:26:2"
"3779",3779,"25-39",85.7749999994412,"alive","airbag","belted",0,"m",48,1997,1997,"nodeploy","pass",0,3,"81:28:1"
"3782",3782,"10-24",14.5169999999925,"alive","none","none",1,"f",32,1997,1994,"unavail","driver",0,3,"81:38:1"
"3783",3783,"25-39",13.2729999999283,"alive","airbag","none",1,"m",16,1997,1991,"deploy","driver",1,1,"81:40:1"
"3785",3785,"55+",13.2729999999283,"alive","none","none",0,"f",25,1997,1989,"unavail","driver",0,3,"81:40:2"
"3786",3786,"10-24",37.1299999998882,"dead","none","none",0,"m",57,1997,1982,"unavail","driver",0,4,"81:42:1"
"3788",3788,"10-24",48.8719999999739,"alive","none","none",1,"m",53,1997,1963,"unavail","driver",0,3,"81:43:2"
"3791",3791,"25-39",482.280999999493,"alive","airbag","belted",1,"f",37,1997,1996,"deploy","driver",1,2,"81:55:1"
"3793",3793,"10-24",15.2129999999888,"alive","airbag","belted",0,"f",28,1997,1995,"deploy","pass",1,3,"81:56:2"
"3795",3795,"25-39",725.957999996841,"alive","none","belted",0,"f",45,1997,1984,"unavail","driver",0,0,"81:58:2"
"3798",3798,"10-24",4220.3789999485,"alive","none","belted",0,"f",20,1997,1980,"unavail","driver",0,0,"81:62:2"
"3799",3799,"10-24",18.6759999999776,"alive","none","none",1,"m",35,1997,1987,"unavail","driver",0,3,"81:63:1"
"3801",3801,"40-54",14.5169999999925,"alive","none","none",1,"f",35,1997,1994,"unavail","pass",0,3,"81:64:1"
"3802",3802,"40-54",14.6329999999143,"alive","none","none",0,"m",25,1997,1988,"unavail","driver",0,3,"81:66:1"
"3804",3804,"40-54",13.3809999999357,"alive","none","none",1,"m",31,1997,1979,"unavail","driver",0,3,"81:71:1"
"3807",3807,"10-24",12.9779999998864,"dead","none","none",1,"m",46,1997,1980,"unavail","driver",0,4,"81:72:1"
"3809",3809,"55+",14.5169999999925,"alive","airbag","none",1,"m",40,1997,1997,"deploy","driver",1,3,"81:73:1"
"3811",3811,"10-24",14.5169999999925,"alive","none","belted",0,"f",59,1997,1987,"unavail","pass",0,1,"81:73:2"
"3814",3814,"40-54",27.1969999999274,"alive","airbag","belted",0,"f",34,1997,1993,"nodeploy","driver",0,2,"81:77:2"
"3815",3815,"25-39",42.7989999996498,"alive","airbag","belted",1,"m",20,1997,1997,"deploy","driver",1,0,"81:78:1"
"3817",3817,"25-39",22.0319999998901,"alive","none","none",1,"m",55,1997,1993,"unavail","driver",0,3,"81:81:1"
"3818",3818,"10-24",28.058999999892,"alive","none","belted",0,"m",18,1997,1986,"unavail","driver",0,0,"81:82:1"
"3820",3820,"10-24",28.058999999892,"alive","airbag","belted",1,"m",56,1997,1996,"deploy","driver",1,0,"81:82:2"
"3823",3823,"25-39",14.4449999999488,"alive","none","none",0,"f",18,1997,1987,"unavail","pass",0,3,"81:84:1"
"3825",3825,"25-39",17.4859999998007,"alive","none","belted",1,"f",69,1997,1990,"unavail","pass",0,3,"81:88:2"
"3827",3827,"55+",14.5169999999925,"alive","none","none",1,"m",29,1997,1985,"unavail","pass",0,3,"81:94:1"
"3830",3830,"40-54",186.189999999478,"alive","none","belted",1,"m",20,1997,1985,"unavail","driver",0,1,"81:95:2"
"3831",3831,"25-39",483.273999996483,"alive","airbag","belted",1,"f",36,1997,1995,"deploy","driver",1,2,"81:100:2"
"3833",3833,"10-24",41.5769999995828,"alive","airbag","belted",1,"m",23,1997,1997,"nodeploy","driver",0,0,"81:107:1"
"3834",3834,"10-24",41.5769999995828,"alive","airbag","belted",1,"m",25,1997,1997,"nodeploy","pass",0,2,"81:107:1"
"3836",3836,"25-39",8.75299999990966,"alive","none","none",0,"m",23,1997,1991,"unavail","driver",0,NA,"82:1:1"
"3839",3839,"55+",12.6669999998994,"alive","airbag","none",0,"m",27,1997,1997,"deploy","pass",1,5,"82:4:2"
"3841",3841,"55+",12.6669999998994,"alive","none","belted",1,"f",33,1997,1992,"unavail","pass",0,3,"82:4:3"
"3843",3843,"10-24",3.90499999999884,"alive","airbag","belted",1,"m",35,1997,1992,"deploy","driver",1,3,"82:5:2"
"3846",3846,"10-24",14.6849999999395,"alive","airbag","belted",1,"m",74,1997,1991,"deploy","driver",1,3,"82:8:2"
"3847",3847,"10-24",591.162999995053,"alive","airbag","belted",1,"f",37,1997,1991,"deploy","driver",1,3,"82:11:1"
"3849",3849,"25-39",4.73399999999674,"alive","none","none",1,"m",37,1997,1988,"unavail","driver",0,2,"82:12:1"
"3850",3850,"25-39",4.73399999999674,"alive","none","belted",0,"m",22,1997,1979,"unavail","driver",0,3,"82:12:2"
"3852",3852,"10-24",4.73399999999674,"alive","none","belted",1,"m",63,1997,1990,"unavail","driver",0,1,"82:13:2"
"3855",3855,"10-24",11.1959999999963,"alive","none","belted",0,"m",21,1997,1989,"unavail","driver",0,2,"82:20:2"
"3857",3857,"25-39",116.498999999836,"alive","airbag","none",0,"m",35,1997,1996,"nodeploy","driver",0,1,"82:21:2"
"3859",3859,"25-39",116.498999999836,"alive","airbag","belted",0,"f",38,1997,1992,"nodeploy","driver",0,0,"82:21:3"
"3862",3862,"10-24",5.72799999994459,"alive","airbag","belted",0,"m",23,1997,1995,"nodeploy","pass",0,2,"82:24:2"
"3863",3863,"10-24",105.583999999799,"alive","none","belted",0,"f",41,1997,1994,"unavail","driver",0,1,"82:25:1"
"3865",3865,"10-24",105.583999999799,"alive","airbag","none",1,"f",43,1997,1993,"deploy","driver",1,1,"82:25:2"
"3866",3866,"10-24",9.94599999999627,"alive","airbag","none",0,"m",26,1997,1992,"nodeploy","driver",0,3,"82:26:1"
"3868",3868,"10-24",294.74299999699,"alive","none","belted",1,"f",73,1997,1986,"unavail","driver",0,0,"82:28:1"
"3871",3871,"10-24",490.10699999705,"alive","none","belted",1,"m",23,1997,1989,"unavail","driver",0,1,"82:30:1"
"3873",3873,"25-39",5.19399999995949,"alive","airbag","belted",0,"f",29,1997,1995,"nodeploy","driver",0,3,"82:32:1"
"3875",3875,"40-54",5.19399999995949,"alive","none","none",1,"f",23,1997,1983,"unavail","driver",0,2,"82:33:1"
"3878",3878,"10-24",41.8509999997914,"alive","none","none",0,"m",21,1997,1984,"unavail","driver",0,2,"82:34:1"
"3879",3879,"10-24",41.8509999997914,"alive","none","none",0,"f",18,1997,1984,"unavail","pass",0,2,"82:34:1"
"3881",3881,"10-24",5.19399999995949,"alive","airbag","belted",0,"f",25,1997,1996,"deploy","driver",1,3,"82:36:1"
"3882",3882,"10-24",5.19399999995949,"alive","none","belted",1,"f",21,1997,1991,"unavail","driver",0,3,"82:36:2"
"3884",3884,"55+",3.90499999999884,"alive","none","belted",0,"m",24,1997,1982,"unavail","driver",0,3,"82:37:1"
"3887",3887,"10-24",3.90499999999884,"alive","none","none",1,"f",27,1997,1975,"unavail","driver",0,0,"82:38:1"
"3889",3889,"10-24",3.90499999999884,"alive","none","none",1,"m",82,1997,1987,"unavail","driver",0,3,"82:40:1"
"3891",3891,"40-54",3.90499999999884,"alive","none","none",1,"m",51,1997,1991,"unavail","pass",0,2,"82:41:1"
"3894",3894,"1-9km/h",518.5,"alive","none","belted",1,"m",45,1997,1978,"unavail","driver",0,0,"82:43:2"
"3895",3895,"10-24",5.19399999995949,"alive","airbag","belted",0,"f",21,1997,1995,"deploy","driver",1,3,"82:44:2"
"3897",3897,"10-24",3.90499999999884,"alive","none","belted",1,"f",35,1997,1992,"unavail","pass",0,3,"82:45:1"
"3898",3898,"10-24",3.90499999999884,"alive","none","belted",1,"m",36,1997,1974,"unavail","driver",0,0,"82:45:2"
"3900",3900,"25-39",154.427999999374,"alive","none","belted",0,"m",51,1997,1987,"unavail","driver",0,1,"82:47:2"
"3903",3903,"10-24",168.516999999061,"alive","none","none",0,"m",41,1997,1983,"unavail","driver",0,0,"82:50:1"
"3905",3905,"10-24",168.516999999061,"alive","none","none",1,"f",19,1997,1989,"unavail","driver",0,0,"82:50:2"
"3907",3907,"10-24",9.06099999998696,"alive","none","none",0,"f",21,1997,1977,"unavail","driver",0,3,"82:58:1"
"3910",3910,"25-39",94.2829999998212,"alive","none","belted",1,"f",32,1997,1984,"unavail","driver",0,2,"82:59:2"
"3911",3911,"10-24",199.754999998957,"alive","airbag","belted",1,"f",25,1997,1996,"deploy","driver",1,0,"82:60:3"
"3913",3913,"40-54",3.90499999999884,"alive","none","none",1,"m",27,1997,1993,"unavail","pass",0,5,"82:64:1"
"3914",3914,"10-24",8.64399999997113,"alive","none","none",1,"m",25,1997,1991,"unavail","driver",0,3,"82:65:1"
"3916",3916,"10-24",89.9479999998584,"alive","none","belted",1,"f",39,1997,1984,"unavail","driver",0,2,"82:66:1"
"3919",3919,"10-24",5.53099999995902,"alive","none","belted",1,"m",36,1997,1991,"unavail","pass",0,1,"82:74:1"
"3921",3921,"10-24",5.53099999995902,"alive","airbag","belted",0,"f",21,1997,1994,"deploy","pass",1,1,"82:74:2"
"3923",3923,"25-39",3.90499999999884,"alive","none","belted",0,"m",27,1997,1991,"unavail","pass",0,1,"82:76:2"
"3926",3926,"25-39",5.19399999995949,"alive","airbag","belted",0,"f",39,1997,1987,"deploy","driver",1,3,"82:80:2"
"3927",3927,"25-39",5.19399999995949,"alive","none","belted",0,"f",41,1997,1987,"unavail","pass",0,3,"82:80:2"
"3929",3929,"25-39",3.90499999999884,"alive","none","none",1,"m",61,1997,1983,"unavail","driver",0,3,"82:81:2"
"3930",3930,"10-24",52.1539999996312,"alive","airbag","belted",0,"f",21,1997,1995,"nodeploy","driver",0,1,"82:82:1"
"3932",3932,"10-24",5.19399999995949,"alive","airbag","none",0,"m",36,1997,1994,"nodeploy","driver",0,3,"82:85:1"
"3935",3935,"10-24",5.19399999995949,"alive","airbag","belted",0,"f",43,1997,1997,"nodeploy","driver",0,3,"82:87:2"
"3937",3937,"10-24",5.19399999995949,"alive","none","belted",1,"f",43,1997,1990,"unavail","pass",0,0,"82:87:3"
"3939",3939,"40-54",15.1009999999078,"alive","none","none",1,"f",38,1997,1980,"unavail","pass",0,3,"82:88:1"
"3942",3942,"25-39",5.19399999995949,"alive","airbag","belted",1,"m",53,1997,1996,"deploy","driver",1,3,"82:91:2"
"3943",3943,"25-39",9.27899999998044,"alive","none","none",1,"m",73,1997,1985,"unavail","driver",0,3,"82:93:1"
"3945",3945,"10-24",5.19399999995949,"alive","airbag","belted",1,"f",22,1997,1995,"deploy","driver",1,3,"82:102:1"
"3946",3946,"10-24",5.19399999995949,"alive","airbag","belted",1,"f",33,1997,1995,"deploy","pass",1,3,"82:102:1"
"3948",3948,"25-39",65.6729999994859,"alive","none","none",1,"f",28,1997,1988,"unavail","driver",0,2,"82:105:1"
"3951",3951,"25-39",6.09299999999348,"alive","none","none",1,"m",33,1997,1977,"unavail","driver",0,3,"82:112:1"
"3953",3953,"40-54",3.90499999999884,"alive","none","belted",1,"m",71,1997,1989,"unavail","driver",0,3,"82:118:1"
"3955",3955,"25-39",3.90499999999884,"alive","none","belted",1,"m",34,1997,1979,"unavail","driver",0,3,"82:119:1"
"3958",3958,"1-9km/h",5.19399999995949,"alive","airbag","belted",1,"f",27,1997,1994,"deploy","driver",1,3,"82:128:2"
"3959",3959,"10-24",5.19399999995949,"alive","none","belted",1,"f",77,1997,1969,"unavail","driver",0,2,"82:129:1"
"3961",3961,"10-24",19.9679999998771,"alive","airbag","belted",1,"m",26,1997,1992,"deploy","driver",1,2,"82:130:1"
"3962",3962,"10-24",19.9679999998771,"alive","airbag","belted",1,"m",29,1997,1997,"deploy","driver",1,2,"82:130:2"
"3964",3964,"10-24",168.974999999627,"alive","airbag","belted",1,"m",34,1997,1990,"nodeploy","driver",0,0,"82:133:2"
"3967",3967,"25-39",3.90499999999884,"alive","none","belted",1,"f",86,1997,1991,"unavail","pass",0,3,"82:148:2"
"3969",3969,"40-54",5.53099999995902,"dead","airbag","belted",1,"m",61,1997,1992,"deploy","driver",1,4,"82:186:2"
"3971",3971,"25-39",5.53099999995902,"dead","none","belted",1,"m",43,1997,1991,"unavail","driver",0,4,"82:214:1"
"3974",3974,"10-24",0,"alive","airbag","belted",1,"f",27,1997,1995,"deploy","driver",1,1,"82:501:1"
"3975",3975,"10-24",0,"alive","airbag","belted",1,"m",27,1997,1995,"deploy","pass",1,1,"82:501:1"
"3977",3977,"10-24",85.5749999992549,"alive","airbag","belted",0,"m",72,1998,1994,"nodeploy","driver",0,3,"2:1:2"
"3978",3978,"10-24",239.484999999404,"alive","airbag","belted",1,"f",23,1998,1995,"deploy","driver",1,1,"2:3:1"
"3980",3980,"10-24",106.870999999344,"alive","none","belted",1,"f",16,1998,1991,"unavail","pass",0,1,"2:4:1"
"3983",3983,"10-24",110.061999999918,"alive","none","belted",0,"f",17,1998,1983,"unavail","driver",0,1,"2:6:2"
"3985",3985,"25-39",31.4849999998696,"alive","none","belted",1,"f",36,1998,1992,"unavail","driver",0,3,"2:8:1"
"3987",3987,"40-54",31.4849999998696,"alive","none","belted",0,"m",17,1998,1975,"unavail","driver",0,2,"2:10:2"
"3990",3990,"10-24",93.0299999993294,"alive","airbag","belted",0,"m",16,1998,1996,"nodeploy","pass",0,1,"2:13:1"
"3991",3991,"10-24",193.763999998569,"alive","none","belted",1,"m",28,1998,1989,"unavail","driver",0,1,"2:14:2"
"3993",3993,"10-24",104.102999999188,"alive","none","belted",1,"m",17,1998,1988,"unavail","driver",0,2,"2:16:1"
"3994",3994,"10-24",104.102999999188,"alive","airbag","none",1,"f",55,1998,1995,"deploy","driver",1,2,"2:16:2"
"3996",3996,"10-24",79.5909999990836,"alive","airbag","belted",1,"m",49,1998,1996,"deploy","driver",1,0,"2:17:1"
"3999",3999,"10-24",461.419999998063,"alive","none","belted",1,"m",17,1998,1988,"unavail","driver",0,0,"2:19:1"
"4001",4001,"55+",92.269999999553,"alive","none","belted",0,"f",51,1998,1993,"unavail","driver",0,1,"2:21:1"
"4003",4003,"10-24",27.561999999918,"alive","none","belted",0,"m",24,1998,1990,"unavail","driver",0,0,"2:24:1"
"4006",4006,"10-24",67.6539999991655,"alive","airbag","belted",1,"f",43,1998,1995,"deploy","driver",1,1,"2:25:1"
"4007",4007,"10-24",140.91099999845,"alive","none","belted",0,"f",82,1998,1992,"unavail","driver",0,1,"2:26:1"
"4009",4009,"10-24",816.914999999106,"alive","none","belted",1,"m",25,1998,1984,"unavail","driver",0,0,"2:27:1"
"4010",4010,"10-24",74.3619999997318,"alive","airbag","belted",1,"f",19,1998,1995,"deploy","driver",1,1,"2:28:1"
"4012",4012,"25-39",109.025999999605,"alive","none","belted",0,"m",65,1998,1990,"unavail","driver",0,1,"2:29:1"
"4015",4015,"10-24",1213.35799999535,"alive","none","none",1,"m",25,1998,1988,"unavail","driver",0,0,"2:35:2"
"4017",4017,"25-39",27.561999999918,"alive","none","belted",1,"f",16,1998,1988,"unavail","pass",0,3,"2:36:2"
"4019",4019,"25-39",109.181999999098,"alive","none","belted",0,"m",46,1998,1986,"unavail","driver",0,5,"2:38:2"
"4022",4022,"55+",27.561999999918,"alive","none","belted",1,"m",22,1998,1991,"unavail","driver",0,3,"2:44:2"
"4023",4023,"55+",27.561999999918,"alive","none","belted",1,"m",22,1998,1991,"unavail","pass",0,3,"2:44:2"
"4025",4025,"10-24",31.4509999998845,"alive","none","belted",0,"f",51,1998,1988,"unavail","pass",0,1,"2:45:1"
"4026",4026,"25-39",31.4509999998845,"alive","airbag","belted",1,"f",54,1998,1996,"deploy","driver",1,3,"2:45:2"
"4028",4028,"10-24",174.022999998182,"alive","airbag","belted",1,"m",19,1998,1991,"deploy","driver",1,2,"2:50:1"
"4031",4031,"10-24",77.0249999994412,"alive","airbag","none",0,"m",86,1998,1995,"nodeploy","pass",0,0,"2:58:1"
"4033",4033,"25-39",31.4509999998845,"alive","airbag","belted",1,"f",37,1998,1995,"deploy","driver",1,3,"2:60:1"
"4035",4035,"10-24",31.4509999998845,"alive","airbag","belted",1,"f",17,1998,1997,"deploy","pass",1,1,"2:60:2"
"4038",4038,"10-24",167.818999998271,"alive","none","belted",1,"m",69,1998,1988,"unavail","pass",0,1,"2:62:1"
"4039",4039,"10-24",167.818999998271,"alive","airbag","belted",0,"m",62,1998,1997,"deploy","driver",1,1,"2:62:2"
"4041",4041,"10-24",231.576999999583,"alive","none","belted",0,"f",66,1998,1984,"unavail","driver",0,1,"2:67:1"
"4042",4042,"10-24",231.576999999583,"alive","airbag","belted",1,"m",47,1998,1995,"deploy","driver",1,0,"2:67:2"
"4044",4044,"10-24",66.8839999996126,"alive","airbag","belted",1,"m",35,1998,1997,"deploy","pass",1,1,"2:69:1"
"4047",4047,"25-39",35.0939999995753,"alive","none","belted",1,"f",18,1998,1983,"unavail","driver",0,1,"2:73:2"
"4049",4049,"10-24",31.4509999998845,"alive","airbag","belted",1,"f",69,1998,1996,"deploy","driver",1,2,"2:76:2"
"4051",4051,"25-39",27.561999999918,"alive","airbag","none",0,"m",21,1998,1993,"nodeploy","driver",0,3,"2:79:1"
"4054",4054,"10-24",328.113999996334,"alive","none","belted",0,"m",38,1998,1988,"unavail","driver",0,1,"2:82:1"
"4055",4055,"10-24",328.113999996334,"alive","none","belted",0,"m",21,1998,1990,"unavail","driver",0,0,"2:82:2"
"4057",4057,"55+",27.561999999918,"alive","none","belted",1,"m",40,1998,1991,"unavail","driver",0,3,"2:83:1"
"4058",4058,"25-39",31.4509999998845,"alive","airbag","belted",1,"f",50,1998,1997,"deploy","driver",1,3,"2:87:1"
"4060",4060,"25-39",39.5819999999367,"alive","airbag","belted",1,"f",67,1998,1995,"deploy","driver",1,1,"2:88:1"
"4063",4063,"10-24",39.5819999999367,"alive","none","belted",1,"m",76,1998,1985,"unavail","driver",0,0,"2:89:2"
"4065",4065,"25-39",129.541999999434,"alive","none","none",1,"f",20,1998,1987,"unavail","driver",0,1,"2:92:2"
"4067",4067,"55+",269.812999997288,"alive","airbag","belted",1,"m",23,1998,1992,"deploy","driver",1,2,"2:94:1"
"4070",4070,"10-24",221.246999999508,"alive","airbag","belted",1,"m",37,1998,1991,"nodeploy","pass",0,0,"2:96:1"
"4071",4071,"55+",50.1629999997094,"alive","none","belted",1,"f",51,1998,1993,"unavail","driver",0,3,"2:98:1"
"4073",4073,"10-24",143.985999999568,"alive","none","belted",1,"f",66,1998,1984,"unavail","driver",0,1,"2:100:1"
"4074",4074,"10-24",143.985999999568,"alive","none","belted",1,"f",44,1998,1984,"unavail","pass",0,1,"2:100:1"
"4076",4076,"25-39",272.040999997407,"alive","airbag","belted",1,"f",39,1998,1994,"deploy","driver",1,1,"2:102:1"
